Date of Exchange		PPM or MCM Replacement		Old MCM/PPM and Location							New MCM/PPM and Location							
				Crate	Ppm	Mcm	Chan	PP Serial	Mcm Serial		Crate	Ppm	Mcm	Chan	PP Serial	Mcm Serial		Problems
																		
2009-05-28		MCM		0	0	0	1	29	1829		2	0	0	*	98	4515		3
2009-05-28		MCM		0	4	11	3	31	2187		2	0	1	*	98	3163		3
2009-05-28		MCM		0	10	14	3	153	4133		2	0	2	*	98	4517		3
2009-05-28		MCM		1	10	3	0	117	4654		2	0	3	*	98	4518		"1,2"
2009-05-28		MCM		2	4	5	0	44	2033		2	0	4	*	98	4519		3
2009-05-28		MCM		2	5	2	0	152	4098		2	0	5	*	98	3170		3
2009-05-28		MCM		2	5	11	3	152	4110		2	0	6	*	98	4522		3
2009-05-28		MCM		2	10	1	1	1	1370		2	0	7	*	98	4523		3
2009-05-28		MCM		2	14	2	2	11	1532		2	0	8	*	98	3164		3
2009-05-28		MCM		2	14	5	"0,1,2,3"	11	1535		2	0	9	*	98	4525		"3,2"
2009-05-28		MCM		3	7	1	2	61	2289		2	0	10	*	98	3169		"3,2"
2009-05-28		MCM		4	9	8	3	150	4086		2	0	11	*	98	4527		2
2009-05-28		MCM		4	10	5	1	132	1903		2	0	12	*	98	4528		4
2009-05-28		MCM		5	2	9	1	8	1491		2	0	13	*	98	4529		3
2009-05-28		MCM		5	11	9	"0,1,2,3"	70	2324		2	0	14	*	98	4530		3
2009-05-28		MCM		6	1	9	3	149	4065		2	0	15	*	98	4531		1
2009-05-28		MCM		6	6	0	3	107	4608		3	0	0	*	129	3849		1
2009-05-28		MCM		6	13	10	3	33	2124		3	0	1	*	129	2950		4
2009-05-28		MCM		6	15	14	0	94	4422		3	0	2	*	129	3148		1
2009-05-28		MCM		7	6	10	"0,2"	53	2256		3	0	3	*	129	3852		"1,2,3"
2009-05-28		MCM		7	7	7	1	109	3694		3	0	4	*	129	3853		2
2009-05-28		MCM		7	7	15	"0,2"	109	3702		3	0	5	*	129	3147		2
																		
2009-05-09		PPM		7	7	*	*	51	*		*	*	*	*	109	*		18
																		
2009-05-05		MCM		0	9	7	3	155	3075		2	0	10	*	98	3068		1
2009-05-05		MCM		0	14	9	3	95	4439		2	0	11	*	98	2826		2
2009-05-05		MCM		0	15	5	1	3	1406		2	0	12	*	98	3669		2
2009-05-05		MCM		1	14	12	"0,1,2,3"	127	2825		2	0	13	*	98	3665		8
2009-05-05		MCM		2	5	9	0	152	4108		2	0	14	*	98	3666		3
2009-05-05		MCM		2	9	1	"0,2,3"	2	1386		2	0	15	*	98	3667		2
2009-05-05		MCM		2	10	7	"2,3"	1	1376		2	8	0	*	154	1894		2
2009-05-05		MCM		2	11	13	3	4	3439		2	8	1	*	154	1895		11
2009-05-05		MCM		2	13	4	"0,1,2,3"	9	1502		2	8	2	*	154	1896		3
2009-05-05		MCM		2	14	12	"0,1,2,3"	11	1542		2	8	3	*	154	1897		10
2009-05-05		MCM		3	9	12	"0,1,2,3"	65	2512		2	8	4	*	154	1898		9
2009-05-05		MCM		3	15	2	1	20	2428		2	8	5	*	154	1899		2
2009-05-05		MCM		4	0	11	2	89	4331		2	8	6	*	154	1900		3
2009-05-05		MCM		4	1	6	0	90	4296		2	8	7	*	154	1901		2
2009-05-05		MCM		4	4	15	"0,1,2,3"	64	2547		2	8	8	*	154	1902		9
2009-05-05		MCM		4	10	5	3	132	3837		2	8	9	*	154	1903		4
2009-05-05		MCM		5	10	2	3	147	4021		2	8	10	*	154	1904		2
2009-05-05		MCM		6	8	9	0	111	3140		2	8	11	*	154	1905		4
2009-05-05		MCM		6	10	7	"0,1,2,3"	114	4680		2	8	12	*	154	1906		9
2009-05-05		MCM		7	2	6	0	96	4460		2	8	13	*	154	1907		2
2009-05-05		MCM		7	13	3	"0,1,2,3"	86	2718		2	8	14	*	154	1908		9
2009-05-05		MCM		7	13	7	"0,1"	86	2789		2	8	15	*	154	1909		12
																		
2009-03-30		MCM		0	3	13	0	28	1810		2	0	1	*	98	3436		1
2009-03-30		MCM		0	13	12	1	19	1678		2	0	2	*	98	3437		1
2009-03-30		MCM		2	11	13	1	4	1430		2	0	3	*	98	3439		2
2009-03-30		MCM		3	3	0	2	20	1683		2	0	4	*	98	3438		2
2009-03-30		MCM		3	14	10	2	57	2832		2	0	5	*	98	4000		4
2009-03-30		MCM		4	1	9	0	90	4301		2	0	6	*	98	3441		2
2009-03-30		MCM		4	11	8	"0,3"	131	3822		2	0	7	*	98	3442		2
2009-03-30		MCM		5	10	4	3	147	4023		2	0	8	*	98	3651		2
2009-03-30		MCM		7	7	8	"2,3"	51	4371		2	0	9	*	98	3653		"1,11,12,13"
																		
2009-01-26		MCM		6	8	11	0	111	4600		3	8	0	*	92	2795		2
2009-01-26		MCM		0	7	5	3	32	2102		3	8	1	*	92	3139		2
2009-01-26		MCM		0	14	1	3	95	4426		3	8	2	*	92	3141		2
2009-01-26		MCM		6	15	8	0	94	4414		3	8	3	*	92	4362		2
2009-01-26		MCM		0	4	3	1	31	2179		3	8	4	*	92	3142		2
2009-01-26		MCM		3	5	8	0	76	2607		3	8	5	*	92	2798		4
2009-01-26		MCM		3	11	3	0	62	2570		3	8	6	*	92	4366		4
2009-01-26		MCM		4	7	11	"0,1,2,3"	125	3718		3	8	7	*	92	2796		13
2009-01-26		MCM		5	4	3	"0,1,2,3"	27	1816		3	8	8	*	92	2797		14
2009-01-26		MCM		6	8	8	"0,1,2,3"	111	4597		3	8	9	*	92	3140		8
2009-01-26		MCM		7	8	8	"0,1,2,3"	51	3128		3	8	10	*	92	4371		"1,2,12,13"
2009-01-26		MCM		2	0	5	"0,1,2,3"	103	3440		3	0	15	*	141	4000		11
2009-01-26		MCM		6	6	2	"0,1,2,3"	108	3673		3	0	0	*	141	4427		15
																		
2008-12-04		MCM		0	14	2	"2,3"	95	4427		3	0	0	*	141	3985		12
2008-12-04		MCM		2	7	10	"0,1,2,3"	144	3365		3	0	1	*	141	3986		"8,9"
2008-12-04		MCM		3	5	10	0	76	2609		3	0	2	*	141	3987		1
2008-12-04		MCM		1	6	8	"0,1,2,3"	99	4506		3	0	3	*	141	3988		16
2008-12-04		MCM		6	8	1	0	111	4582		3	0	4	*	141	3989		"8,9"
2008-12-04		MCM		7	13	1	0	86	2716		3	0	5	*	141	3990		1
2008-12-04		MCM		4	15	11	0	137	3925		3	0	6	*	141	3991		2
2008-12-04		MCM		4	9	11	0	150	4090		3	0	7	*	141	2371		2
2008-12-04		MCM		4	0	0	"0,2"	89	4312		3	0	9	*	141	3994		2
2008-12-04		MCM		0	14	6	0	95	4433		3	0	10	*	141	3995		2
2008-12-04		MCM		0	10	15	0	153	4131		3	0	11	*	141	3996		2
2008-12-04		MCM		1	5	9	0	148	4046		3	0	12	*	141	3997		2
2008-12-04		MCM		1	14	8	0	127	3735		3	0	13	*	141	2390		2
2008-12-04		MCM		1	15	11	0	128	3807		3	0	14	*	141	3999		2
																		
2008-11-14		PPM		3	10	*	*	60	*		2	8	*	*	15	*		17
2008-11-14		MCM		3	10	7	3	60	*		2	8	7	*	15	*		"1,16"
2008-11-14		MCM		3	10	2	2	60	*		2	8	2	*	15	*		4
2008-11-14		MCM		3	10	15	*	60	*		2	8	15	*	15	*		13
																		
2008-07-25		MCM		7	8	8	0	51	*		3	0	*	*	141	*		4
2008-07-25		MCM		7	12	14	1	67	*		3	8	*	*	92	*		12
